"Year" "Ratio" "Benthic_occ"
"1" 1991 0.284569342290175 0.778471015209786
"2" 1992 0.00454876997818473 0.995471827636319
"3" 1993 0.0613378210521054 0.942207071268504
"4" 1994 0.187111317098037 0.842380984493146
"5" 1995 0.0882219024589634 0.918930227135095
"6" 1996 0.103656081432149 0.906079363693044
"7" 1997 0.172350414366353 0.852987287542771
"8" 1998 0.151337044926318 0.868555393406973
"9" 1999 0.402522937697568 0.71300081668656
"10" 2000 0.26533686903541 0.790303376493186
"11" 2001 0.46732906971502 0.681510385529414
"12" 2002 0.788066037514969 0.55926346064365
"13" 2003 0.896871149033712 0.527183936826395
"14" 2004 1.82592205491907 0.353866801902517
"15" 2005 0.941923043663933 0.514953464949489
"16" 2006 0.705626480635894 0.586294837324042
"17" 2007 1.08596776882083 0.479393792630501
"18" 2008 0.300974033604152 0.768654849497381
"19" 2009 0.366548585723719 0.731770542552941
"20" 2010 0.318866648598122 0.758226770737543
"21" 2011 0.205324327523447 0.82965221655708
"22" 2012 0.0938127446209742 0.914233267913255
"23" 2013 0.316268664976317 0.759723319872537
"24" 2014 0.187988436145223 0.841759035336062
"25" 2015 0.364086700203478 0.733091232288118
"26" 2016 0.242604832642806 0.804761074261374
"27" 2017 0.230798282805003 0.812480821569712
"28" 2018 0.174922800952441 0.85111974947576
"29" 2019 0.687546644348494 0.592576213136951
"30" 2020 0.237418562427413 0.80813398987512
